Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:52:15 2025

Initialized Ramulator. 
Micro-op 1: 7f74c6e56508	Micro-op 2: 7f74c6e5651d
Micro-op 1: 7f74cfb5e54e	Micro-op 2: 7f74c6e564d4
Micro-op 1: 7f74c6e564d0	Micro-op 2: 7f74c6e564ea
Micro-op 1: 7f74c6e564ed	Micro-op 2: 7f74c6e564ee
Micro-op 1: 7f74c6e1d2d5	Micro-op 2: 7f74c6e1d3a1
Micro-op 1: 7f74c6e1d2d5	Micro-op 2: 7f74c6e1d3ab
Micro-op 1: 7f74c6e1d329	Micro-op 2: 7f74c6880b05
Micro-op 1: 7f74c6880b01	Micro-op 2: 7f74c6880b09
Micro-op 1: 7f74c6880b17	Micro-op 2: 7f74c6880b17
Micro-op 1: 7f74c6880b1a	Micro-op 2: 7f74c6880b1a
Micro-op 1: 7f74c6880b01	Micro-op 2: 7f74c6880b01
Micro-op 1: 7f74cfb5e54e	Micro-op 2: 7f74c6e20c43
Micro-op 1: 7f74c6e368f3	Micro-op 2: 7f74c6e3cb02
Micro-op 1: 7f74c6e20c85	Micro-op 2: 7f74c6e20c9c
Micro-op 1: 7f74c6e564eb	Micro-op 2: 7f74c6e20c9d
Micro-op 1: 7f74c6e564eb	Micro-op 2: 7f74c6e20c9f
Micro-op 1: 7f74c6e564eb	Micro-op 2: 7f74c6e20ca1
Micro-op 1: 7f74c6e564eb	Micro-op 2: 7f74c6e20ca3
