Scarab gitrev: 3e29641
Scarab started at Tue Apr  8 05:34:02 2025

Initialized Ramulator. 
Op1 PC: 7fff617847f4, Op2 PC: 7fff61784801, Op1 Cacheline: 7fff61780080, Op2 Cacheline: 7fff61780080, Op1 Mem size: 4, Op2 Mem size: 4, Op1 Base reg: 11, Op2 Base reg: 11
Op1 PC: 7fff61784812, Op2 PC: 7fff61784816, Op1 Cacheline: 7fff61780080, Op2 Cacheline: 7fff61780080, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 11, Op2 Base reg: 12
Op1 PC: 7fff6178481a, Op2 PC: 7fff6178482d, Op1 Cacheline: 7fff61780080, Op2 Cacheline: 7fff61780080, Op1 Mem size: 4, Op2 Mem size: 4, Op1 Base reg: 11, Op2 Base reg: 11
Op1 PC: 7fff61784831, Op2 PC: 7fff61784835, Op1 Cacheline: 7fff61780080, Op2 Cacheline: 7fff61780080, Op1 Mem size: 8, Op2 Mem size: 4, Op1 Base reg: 12, Op2 Base reg: 11
Op1 PC: 7fff6178486a, Op2 PC: 7fff6178486c, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7fff6178486e, Op2 PC: 7fff61784870, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7fff61784872, Op2 PC: 7fff61784873, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fbc5045c, Op2 PC: 7f97fbea6112, Op1 Cacheline: 7fff61638b80, Op2 Cacheline: 7fff61638b80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fbc5045c, Op2 PC: 7f97fbea611a, Op1 Cacheline: 7fff61638b80, Op2 Cacheline: 7fff61638b80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fbc5045c, Op2 PC: 7f97fbea611f, Op1 Cacheline: 7fff61638b80, Op2 Cacheline: 7fff61638b80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fbc4d81a, Op2 PC: 7f97fbea6124, Op1 Cacheline: 7f97fc6c87c0, Op2 Cacheline: 7f97fc6c87c0, Op1 Mem size: 4, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97fbc5045c, Op2 PC: 7f97fbea6133, Op1 Cacheline: 7fff61638b80, Op2 Cacheline: 7fff61638b80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c98b4, Op2 PC: 7f97f88c9815, Op1 Cacheline: 7fff61638bc0, Op2 Cacheline: 7fff61638bc0, Op1 Mem size: 1, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7fff617847f4, Op2 PC: 7fff61784812, Op1 Cacheline: 7fff61780080, Op2 Cacheline: 7fff61780080, Op1 Mem size: 4, Op2 Mem size: 8, Op1 Base reg: 11, Op2 Base reg: 11
Op1 PC: 7fff6178481a, Op2 PC: 7fff61784831, Op1 Cacheline: 7fff61780080, Op2 Cacheline: 7fff61780080, Op1 Mem size: 4, Op2 Mem size: 8, Op1 Base reg: 11, Op2 Base reg: 12
Op1 PC: 7fff617846f1, Op2 PC: 7fff61784869, Op1 Cacheline: 7fff61638b00, Op2 Cacheline: 7fff61638b00, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7fff6178486a, Op2 PC: 7fff6178486e, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7fff61784872, Op2 PC: 7f97fbc90677, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
