Scarab gitrev: 3faa0e4
Failed to load binaries: Failed to map module /simpoint_traces/postgres/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 02:39:19 2025

Initialized Ramulator. 
Op1 PC: 7f7181877fe1	 Op2 PC: 7f7181877fe9	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187780f	 Op2 PC: 7f7181877ff1	 Op1 Cacheblock: 7fff1ea3e580	 Op2 Cacheblock: 7fff1ea3e580	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f7181877757	 Op2 PC: 7f718187776b	 Op1 Cacheblock: 7f718186c740	 Op2 Cacheblock: 7f718186c740	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 9	Op2 base reg: 9
Op1 PC: 7f718187780f	 Op2 PC: 7f718187778b	 Op1 Cacheblock: 7fff1ea3e580	 Op2 Cacheblock: 7fff1ea3e580	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818778a9	 Op2 PC: 7f71818778aa	 Op1 Cacheblock: 7fff1ea3e5c0	 Op2 Cacheblock: 7fff1ea3e5c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818778ab	 Op2 PC: 7f71818778ad	 Op1 Cacheblock: 7fff1ea3e5c0	 Op2 Cacheblock: 7fff1ea3e5c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f7181877748	 Op2 PC: 7f71818778b1	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818781fd	 Op2 PC: 7f7181878219	 Op1 Cacheblock: 7fff1ea3e680	 Op2 Cacheblock: 7fff1ea3e680	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187739d	 Op2 PC: 7f7181878220	 Op1 Cacheblock: 7f718189ad00	 Op2 Cacheblock: 7f718189ad00	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 13	Op2 base reg: 15
Op1 PC: 7f7181878266	 Op2 PC: 7f7181878267	 Op1 Cacheblock: 7fff1ea3e6c0	 Op2 Cacheblock: 7fff1ea3e6c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f7181878268	 Op2 PC: 7f718187826a	 Op1 Cacheblock: 7fff1ea3e6c0	 Op2 Cacheblock: 7fff1ea3e6c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
